id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
4iURgDfsolmCJtknzWuyxj,0.0776,0.407,1,0.0864,6,0.358,-8.762,0.327,2e-06,0.585,185.392
1FQWjcHMI298Plgx468LT2,0.0416,0.601,0,0.0945,6,0.556,-7.46,0.00131,0,0.872,109.9
2IjSsoIQB0vcWiWCQNurMP,0.0306,0.531,1,0.912,0,0.57,-9.48,0.395,2.19e-05,0.604,106.975
1RLa4k4zTZkkWz0gApGipO,0.0477,0.641,0,0.0872,11,0.498,-9.62,0.122,0,0.54,133.116
0wOfHhyR1IBIiokLNmzHdS,0.21,0.647,1,0.232,2,0.688,-4.815,0.0776,0,0.923,160.082
7zjRBaNkVjk1vZ8JqxQIXO,0.0542,0.473,0,0.178,9,0.681,-8.963,0.021,0,0.523,110.812
4cGeMgLcykDLAazHFpbZbU,0.36,0.394,1,0.0874,0,0.636,-6.759,0.00402,0,0.517,139.928
7ujx3NYtwO2LkmKGz59mXp,0.0903,0.423,0,0.0975,1,0.906,-6.779,0.000243,3.23e-05,0.625,150.018
0O0M44llUQuPdJAkROQRch,0.0443,0.512,0,0.0992,9,0.472,-8.092,0.0219,0,0.69,77.478
4vheUbZGsFWPpbJrir4Ocw,0.244,0.41,0,0.424,7,0.646,-5.272,0.157,0,0.862,94.186
0rLpRo2nPKHQHJfRdqwlTv,0.118,0.384,0,0.0912,8,0.368,-3.952,0.0361,0.00868,0.992,158.175
6XNTRqIDa9xxuUC1ELo5Fb,0.0621,0.465,0,0.104,7,0.419,-6.983,0.0159,0.007,0.771,133.266
1zayuwd1YLZsYDArkruHdL,0.765,0.54,0,0.272,9,0.672,-15.218,0.501,0.000125,0.434,129.209
4Jp4T5gbCLQzGz545Jb3NY,0.289,0.501,1,0.0696,11,0.66,-1.768,0.0297,0,0.911,87.311
2RbOqhmA2S1YkyUcIMkjmO,0.308,0.618,0,0.0759,7,0.695,-10.06,0.216,0.000325,0.496,161.996
5CQ30WqJwcep0pYcV4AMNc,0.0339,0.197,0,0.116,9,0.338,-12.049,0.58,0.0032,0.34,82.433
55sjCMeQM26VxbNHhMtj2b,0.0333,0.541,1,0.0865,2,0.495,-17.701,0.892,0.00638,0.237,77.376
1oqdOL4Zl4nRXoaGRWLUke,0.421,0.171,1,0.179,9,0.663,-11.457,0.354,0.00016,0.411,174.002
6GcbBAKai96tJVSbc4Cuqr,0.0923,0.637,0,0.118,7,0.864,-8.387,0.792,0.000181,0.365,119.949
63PJEtaDQNx3BfJTqEY39c,0.0659,0.0485,1,0.258,2,0.436,-15.099,0.759,0.115,0.21,139.744
6yIjZliWeKDstbA70wYwm0,0.254,0.232,0,0.0964,11,0.553,-10.602,0.66,0.00102,0.523,96.113
2qsdIPr4GuAYsigQMU1LyE,0.368,0.501,0,0.0853,11,0.674,-10.479,0.385,5.9e-05,0.483,78.817
2rAtKDT2787d8drfCuoNfY,0.113,0.048,1,0.114,2,0.476,-15.176,0.774,0.00347,0.195,64.639
0UDFYzrb5copPflRuheuPJ,0.134,0.239,1,0.129,5,0.244,-6.138,0.0117,0,0.854,168.408
6mcu7D7QuABVwUGDwovOEh,0.277,0.856,0,0.024,11,0.886,-2.528,0.265,0,0.626,93.989
3DQVgcqaP3iSMbaKsd57l5,0.0356,0.778,0,0.376,6,0.535,-4.19,0.00225,0,0.948,103.183
2n3JZ0r4oIQaDQDW4yjVpq,0.0469,0.617,0,0.246,2,0.495,-5.336,0.0025,0.0783,0.931,104.05
70FCugJxa7XW04Np6iYJdI,0.299,0.895,0,0.0427,6,0.646,-3.846,0.349,9.37e-05,0.813,92.729
0aKjN6mBKSMmP3TpfezOxM,0.141,0.205,0,0.142,9,0.498,-7.407,0.00431,0.000951,0.678,172.191
26RcjBcThMrZ8KvsqApOvN,0.245,0.37,0,0.296,9,0.458,-5.65,0.0256,0,0.74,79.255
0B5sTVITVOME8digINZ39M,0.325,0.673,1,0.273,1,0.496,-6.171,0.0386,0,0.888,94.663
5fgb3Md1xjt3mxeBqguiIA,0.0308,0.437,1,0.122,0,0.597,-5.841,0.0372,2.33e-05,0.848,128.009
53L6A3I9vf7rgEZnMzx54E,0.0469,0.617,0,0.246,2,0.495,-5.336,0.0025,0.0783,0.931,104.05
7LlK43t856txlzdxctWa93,0.176,0.209,1,0.219,2,0.725,-6.295,0.0842,0,0.606,139.914
5A6OHHy73AR5tLxgTc98zz,0.0675,0.538,0,0.271,2,0.684,-4.524,0.0646,0,0.834,164.02
7iL6o9tox1zgHpKUfh9vuC,0.366,0.777,0,0.0708,6,0.899,-2.752,0.255,0,0.713,90.051
4zf0YxjawF0Ao3aiLEbCED,0.0315,0.341,0,0.171,6,0.452,-1.797,0.0208,1.38e-06,0.795,147.961
1qwamT1qN521FuTtOaOt4P,0.0283,0.451,0,0.0786,8,0.573,-12.041,0.697,9.26e-05,0.34,92.321
76bcaYeKOKTrj9lEc9BZFU,0.0326,0.595,1,0.188,7,0.55,-14.133,0.895,0.0107,0.314,90.088
