uri,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
spotify:track:5XzmZjXhMjDHr7ZfJ6DELQ,0.0442,0.321,1,0.12,2,0.579,-5.65,0.868,0,0.268,205.903
spotify:track:5lnsCyEKWofnC00U4Ax0ti,0.0621,0.395,1,0.257,1,0.781,-4.981,0.0509,1.94e-06,0.728,102.99
spotify:track:539HpTjkmnhbPn3p7mjByN,0.114,0.522,1,0.266,2,0.232,-6.227,0.0508,0,0.744,78.921
spotify:track:3U4isOIWM3VvDubwSI3y7a,0.0322,0.331,1,0.132,8,0.422,-7.064,0.922,0,0.264,119.93
spotify:track:1EzrEOXmMH3G43AXT1y7pA,0.0468,0.718,1,0.105,11,0.686,-8.322,0.595,0,0.457,150.953
spotify:track:51FpzuGkRYXFgsE2zXt9av,0.0272,0.206,1,0.122,1,0.516,-20.41,0.13,0.0755,0.15,97.398
spotify:track:6eBK3edMW7bEzecF1eCezc,0.0284,0.298,1,0.0652,1,0.519,-12.635,0.0816,4.67e-05,0.372,131.227
spotify:track:4YGlRLe6TeBRiXFByBqldf,0.028,0.473,1,0.268,6,0.643,-10.269,0.536,0.000304,0.488,110.032
spotify:track:1JmPASoql4lnXimD5ICqRP,0.0626,0.459,1,0.383,2,0.594,-5.774,0.271,0,0.729,86.032
spotify:track:2nMeu6UenVvwUktBCpLMK9,0.0372,0.136,0,0.11,11,0.307,-8.924,0.271,3.09e-05,0.425,108.693
